No,날짜,카테고리,제목,원문텍스트,텍스트_정제,형태소,시기구분,추천수
1900-10-11 00:00:00,2026-03-23,학사/행정,장학금 이거 거절됏네,개좆같다 나만 없어,장학금 이거 거절됏네 개좆같다 나만 없어,장학금 거절됏 개좆,평소,0
1900-10-12 00:00:00,2026-03-21,학사/행정,나만 아직도 rise 겨울 장학금 안 들어옴?,돈 줘,나만 아직도 rise 겨울 장학금 안 들어옴 돈 줘,겨울 장학금 들어오다,평소,0
1900-10-13 00:00:00,2026-04-05,학사/행정,토익 서버,나만 학교 토익 사이트 안 들어가짐??,토익 서버 나만 학교 토익 사이트 안 들어가짐,토익 서버 토익 사이트 가짐,시험기간,0
1900-10-14 00:00:00,2026-03-10,학사/행정,lms,"왜 안들어가져
서버
왜
이
래?",lms 왜 안들어가져 서버 왜 이 래,들어가다 서버,평소,0
1900-10-15 00:00:00,2026-03-04,학사/행정,에타 왜이리 버벅거리냐,서버 나감?,에타 왜이리 버벅거리냐 서버 나감,에타 버벅거리 서버 나가다,평소,0
1900-10-16 00:00:00,2026-01-04,학사/행정,대원 인터넷 왜이래요?,전 자취방에서는 이런 적 없는데 재부팅을 해도 안되고 아예 선 다 뽑았다가 해도 안되고 걍 안돼요.,대원 인터넷 왜이래요 전 자취방에서는 이런 적 없는데 재부팅을 해도 안되고 아예 선 다 뽑았다가 해도 안되고 걍 안돼요,대원 인터넷 자취 이렇다 재부팅 해도 아예 뽑다 해도,평소,1900
1900-10-17 00:00:00,2025-09-09,학사/행정,lms 욕나오네,뭔 서버가 터졌나 게시판 들어가는데 한참 걸려 야발. 블보나 그냥 계속 쓸것이지 욕나오네,lms 욕나오네 뭔 서버가 터졌나 게시판 들어가는데 한참 걸려 야발 블보나 그냥 계속 쓸것이지 욕나오네,서버 터지다 게시판 들어가다 한참 걸리다 블보 계속 쓸다,평소,1900
1900-10-18 00:00:00,2025-08-26,학사/행정,긱사 호실 확인하려고 하는데,나만 이렇게 뜬거야? 서버 터진?,기숙사 호실 확인하려고 하는데 나만 이렇게 뜬거야 서버 터진,기숙사 호실 확인 뜨다 서버 터지다,평소,0
1900-10-19 00:00:00,2025-08-26,학사/행정,호연학사 터짐?,서버가참약해 이학교는,기숙사 터짐 서버가참약해 이학교는,기숙사 터지다 서버 차다 약하다,평소,1900
1900-10-20 00:00:00,2025-08-04,학사/행정,서버 아직 정상 아닌거임??,왤케 느리냐,서버 아직 정상 아닌거임 왤케 느리냐,서버 정상 왤케 느리다,평소,0
1900-10-21 00:00:00,2025-08-04,학사/행정,강의계획서 안열리는데ㅜㅜ,언제까지 안열릴까요… 어떤건되고 어떤건안되서 서버문제인건지 제 컴문제인지 모르겠어요ㅠㅠ 저만 이런건가여?,강의계획서 안열리는데 언제까지 안열릴까요 어떤건되고 어떤건안되서 서버문제인건지 제 컴문제인지 모르겠어요 저만 이런건가여,강의 계획 열리다 언제 열리다 건안 서버 건지다,평소,0
1900-10-22 00:00:00,2025-08-02,학사/행정,열려라,쿠피드 서버 된장국 쏟았냐~~~ 얼른 열어다오~~~,열려라 쿠피드 서버 된장국 쏟았냐 얼른 열어다오,열리다 쿠피 서버 된장국 쏟다 얼른 열다,평소,0
1900-10-23 00:00:00,2025-08-01,학사/행정,군휴학 신청하려 했는데,서버 터졌네,군휴학 신청하려 했는데 서버 터졌네,휴학 신청 서버 터지다,평소,0
1900-10-24 00:00:00,2025-08-01,학사/행정,ㅋㅋㅋㅋ개웃기네 휴학신청할랬더니,학교서버가 폭발함ㅋㅋㅋ,개웃기네 휴학신청할랬더니 학교서버가 폭발함ㅋ,기네 휴학 신청 할랬 더니 서버 폭발,평소,0
1900-10-25 00:00:00,2025-05-23,학사/행정,님들 이니셜 학생증 신청하려는데,"계속 이카는데
어캄 서버가 이상한건가",님들 이니셜 학생증 신청하려는데 계속 이카는데 어캄 서버가 이상한건가,님들 이니셜 학생증 신청 계속 크다 어캄 서버 이상하다,평소,0
