No,날짜,카테고리,제목,원문텍스트,텍스트_정제,형태소,시기구분,추천수
131,2022-09-27,교통/이동,"자전거도로에 킥보드 세워두지 마세요
","신안리에서 스윙 타고 오고가고 하는데 자전거도로에 많은 킥보드가 세워져 있어서 불편해 죽겠습니다. 생각이 있습니까 휴먼

",자전거도로에 전동킥보드 세워두지 마세요 신안리에서 스윙 타고 오고가고 하는데 자전거도로에 많은 전동킥보드가 세워져 있어서 불편해 죽겠습니다 생각이 있습니까 휴먼,자전거 도로 전동킥보드 세우다 두다 말다 신안 스윙 타고 고가 자전거 도로 많다 전동킥보드 세워지다 불편하다 죽다 휴먼,평소,0
132,2026-03-31,교통/이동,"주차장 50cc오토바이 좀 딴 곳에 대라
","쪼만해서 딴 곳애 충분히 주차가능한데 꾸역꾸역 계속 주차장에 주차하네

",주차장 50cc오토바이 좀 딴 곳에 대라 쪼만해서 딴 곳애 충분히 주차가능한데 꾸역꾸역 계속 주차장에 주차하네,주차장 오토바이 따다 대다 쪼만해 따다 곳애 충분하다 주차 가능하다 계속 주차장 주차,평소,0
133,2025-04-03,교통/이동,"불법주차 ㅈㄴ당당하네
","폐차시켜달라는거지..?

",불법주차 존나당당하네 폐차시켜달라는거지,불법 주차 존나 당당하다 폐차 시키다 달라 거지,시험기간,0
134,2023-06-15,교통/이동,"지쿠터를 비롯한 전동킥보드
","헬멧미착용도 이해하면 안되는거지만 그렇다치고,
역주행, 갑툭튀, 불법주차 존나싫다.
그중 2인탑승도 왜하는지 이해가 안간다.

마음같아선 딸배헌터마냥 잡으러 다니고싶다..

",지쿠터를 비롯한 전동전동킥보드 헬멧미착용도 이해하면 안되는거지만 그렇다치고 역주행 갑툭튀 불법주차 존나싫다 그중 2인탑승도 왜하는지 이해가 안간다 마음같아선 딸배헌터마냥 잡으러 다니고싶다,지쿠 비롯 전동킥보드 헬멧 미착 용도 이해 그렇다 역주행 갑툭튀 불법 주차 존나 싫다 탑승 이해 간다 마음 딸배 헌터 마냥 잡다 다니다,시험기간,0
135,2022-09-16,교통/이동,"킥라니 참교육 들어간다
","자꾸 누가 이런식으로 주차하는데, 주차금지구역일 뿐더러, 최소한 갓길에 세로로 주차해야지... 사각지대라서 차 긁히면 어떻게 하려고 자꾸 이러니?? 불법주차 신고 올리고, 전화로 항의 넣으니까 해당 사용자 페널티 부야한다네. 제발 주차만이라도 똑바로 하자 피해주지 말고",전동전동킥보드 참교육 들어간다 자꾸 누가 이런식으로 주차하는데 주차금지구역일 뿐더러 최소한 갓길에 세로로 주차해야지 사각지대라서 차 긁히면 어떻게 하려고 자꾸 이러니 불법주차 신고 올리고 전화로 항의 넣으니까 해당 사용자 페널티 부야한다네 제발 주차만이라도 똑바로 하자 피해주지 말고,전동킥보드 차다 교육 들어가다 자꾸 누가 주차 주차 금지 구역 뿐더러 최소한 갓길 세로 주차 지대 긁다 자꾸 불법 주차 신고 올리다 전화 항의 넣다 해당 사용자 페널티 야하다 제발 주차 똑바로 하자,평소,3
136,2023-05-01,교통/이동,"지쿠터같은 전동킥보드 둘이타는거
","옆에서 발로 까도 합법으로 만들어 주면안대나 진짜 걸어다닐때 옆에서 지나가면 개위험함을 느끼고 분노가 치미는데 ㅋㅋ

",지쿠터같은 전동전동킥보드 둘이타는거 옆에서 발로 까도 합법으로 만들어 주면안대나 진짜 걸어다닐때 옆에서 지나가면 개위험함을 느끼고 분노가 치미는데,지쿠 전동킥보드 끄다 합법 면안 걸다 다니다 지나가다 위험하다 느끼다 분노 밉다,시험기간,2
137,2022-07-01,교통/이동,"하.. 전동킥보드 타시는 사람들 보세요
","오늘 아침에 학교 나오면서 찍은 사진입니다.
아침에 정말 바빠 죽겠는데 전킥이 저렇게 주차 되어 있었습니다. 도대체 무슨 생각으로 저렇게 차도를 침범하게 주차를 하는 건지 전혀 알 수가 없습니다..;
저도 집에 전킥 있고 자주 타고 다니지만 단 한 번도 저렇게 주차해본 적이 없습니다.
인터넷에서 차, 오토바이 주차 이상하게 한 주차 빌런들 보면서 그렇게 다들 욕하면서 왜 전킥은 저렇게 도로에 던져놓고 다니는 거죠?? 저러면 인터넷의 그 빌런들이랑 다를게 뭡니까? 사람들에게 피해 주는 건 똑같은데.
지나가려다가 차 긁고 전킥 넘어뜨릴 것 같아서 결국 내려서 치우고 갔습니다. 사람 다니는 인도에도 가운데 침범해서 주차하면 민폐라고 하는데 하물며 차 다니는 차도는 어떻겠습니까..
이 논쟁 못해도 3년 전부터 나왔던 것 같은데 아직도 저렇게 대는 사람들이 있다는 것에 대해 그저 할 말을 잃을 뿐입니다. 전킥 타시는 분들 제발 주차 좀 잘해주세요. 두명이서 타든 전킥으로 곡예를 부리든 도로 한가운데를 질주를 하시든 보기 좋진 않았지만 지금까지 그냥 그러려니 하고 넘겼습니다. 인도랑 차도가 같이 있는 곳에서 차도 가장자리에 대놓았던 걸 봤을 때도 그냥 참았는데 최소한 저렇게 장애물 마냥 대놓으면 안되는 거죠 상식과 개념이 있는 사람이라면.. 정말 걸어도 다니고 전킥도 타고 차도 운전하는 사람으로서 세상에서 전킥 타는 사람들 이미지가 안좋은 건 다 이유가 있다고 생각합니다. 부탁드립니다. 이런 걸로 서로 얼굴 붉히지 않았으면 합니다, 우리 학우님들.

아 그리고 농심 뒤편 CU에 저렇게 대놓은 두 놈들. 이거 보면 반성하는 마음으로 중학교 도덕책부터 펴봐라 진짜.. 맘 같아선 바쁜 상황에서 저래 되어 있는 거 보니 귀에 피가 나도록 욕을 해주고 싶지만 참았단다. 담부턴 그러지 말기를^^",하 전동전동킥보드 타시는 사람들 보세요 오늘 아침에 학교 나오면서 찍은 사진입니다 아침에 정말 바빠 죽겠는데 전동킥보드이 저렇게 주차 되어 있었습니다 도대체 무슨 생각으로 저렇게 차도를 침범하게 주차를 하는 건지 전혀 알 수가 없습니다 저도 집에 전동킥보드 있고 자주 타고 다니지만 단 한 번도 저렇게 주차해본 적이 없습니다 인터넷에서 차 오토바이 주차 이상하게 한 주차 빌런들 보면서 그렇게 다들 욕하면서 왜 전동킥보드은 저렇게 도로에 던져놓고 다니는 거죠 저러면 인터넷의 그 빌런들이랑 다를게 뭡니까 사람들에게 피해 주는 건 똑같은데 지나가려다가 차 긁고 전동킥보드 넘어뜨릴 것 같아서 결국 내려서 치우고 갔습니다 사람 다니는 인도에도 가운데 침범해서 주차하면 민폐라고 하는데 하물며 차 다니는 차도는 어떻겠습니까 이 논쟁 못해도 3년 전부터 나왔던 것 같은데 아직도 저렇게 대는 사람들이 있다는 것에 대해 그저 할 말을 잃을 뿐입니다 전동킥보드 타시는 분들 제발 주차 좀 잘해주세요 두명이서 타든 전동킥보드으로 곡예를 부리든 도로 한가운데를 질주를 하시든 보기 좋진 않았지만 지금까지 그냥 그러려니 하고 넘겼습니다 인도랑 차도가 같이 있는 곳에서 차도 가장자리에 대놓았던 걸 봤을 때도 그냥 참았는데 최소한 저렇게 장애물 마냥 대놓으면 안되는 거죠 상식과 개념이 있는 사람이라면 정말 걸어도 다니고 전동킥보드도 타고 차도 운전하는 사람으로서 세상에서 전동킥보드 타는 사람들 이미지가 안좋은 건 다 이유가 있다고 생각합니다 부탁드립니다 이런 걸로 서로 얼굴 붉히지 않았으면 합니다 우리 학우님들 아 그리고 농심 뒤편 CU에 저렇게 대놓은 두 놈들 이거 보면 반성하는 마음으로 중학교 도덕책부터 펴봐라 진짜 맘 같아선 바쁜 상황에서 저래 되어 있는 거 보니 귀에 피가 나도록 욕을 해주고 싶지만 참았단다 담부턴 그러지 말기를,전동킥보드 오늘 아침 찍다 사진 아침 바쁘다 죽다 전동킥보드 주차 되어다 도대체 무슨 차도 침범 주차 건지다 전혀 수가 전동킥보드 자주 타고 다니다 주차 인터넷 오토바이 주차 이상하다 주차 빌런 전동킥보드 도로 던지다 다니다 저러다 인터넷 빌런 다르다 피해 똑같다 지나가다 긁다 전동킥보드 넘어뜨리다 치우다 다니다 인도 가운데 침범 주차 민폐 하물며 다니다 차도 논쟁 대다 대해 잃다 뿐이다 전동킥보드 제발 주차 전동킥보드 곡예 부리 도로 한가운데 질주 보기 좋다 지금 그렇다 넘기다 인도 차도 차도 가장자리 대다 참다 최소한 장애물 마냥 대다 상식 개념 라면 걸다 다니다 전동킥보드 타고 차도 운전 세상 전동킥보드 이미지 안좋다 이유 부탁드리다 이렇다 서로 얼굴 붉다 학우 농심 뒤편 대다 반성 마음 중학교 도덕 펴다 바쁘다 상황 저렇다 되어다 참다 그렇다 말기,평소,33
138,2022-03-14,교통/이동,"전동킥보드 주차 좀 잘해줘
","학관앞도 그렇고 무슨 차도 한가운데에 주차를 해놓냐 사고나면 어쩔려구 제발 주차좀 잘해줘

",전동전동킥보드 주차 좀 잘해줘 학생회관앞도 그렇고 무슨 차도 한가운데에 주차를 해놓냐 사고나면 어쩔려구 제발 주차좀 잘해줘,전동킥보드 주차 잘해주다 학생회관 그렇다 무슨 차도 한가운데 주차 사다 려구 제발 주차 잘해주다,평소,0
139,2025-04-15,교통/이동,"주차장에서 걸어다니시는분들
","주차장 통해서 지나다니거나(인도 없는곳) 주차장에서 담배피시는분들 다 좋은데 제발 주차 자리에 서있지좀 말아주세요.. 주차해야되는데 만약에 그러다 사람 살짝이라도 치면 운전자만 손해보잖아요? 다가와도 절대 안비키고 경적울려도 쳐다보고 말던데안쪽에 대던지 자리가없으면 이중주차하고 연락처를 남기던지 바로 꺾이는데에 냅다 대놓고 튀네 개빡치게
 왜그러시는거예요..?",주차장에서 걸어다니시는분들 주차장 통해서 지나다니거나 인도 없는곳 주차장에서 담배피시는분들 다 좋은데 제발 주차 자리에 서있지좀 말아주세요 주차해야되는데 만약에 그러다 사람 살짝이라도 치면 운전자만 손해보잖아요 다가와도 절대 안비키고 경적울려도 쳐다보고 말던데안쪽에 대던지 자리가없으면 이중주차하고 연락처를 남기던지 바로 꺾이는데에 냅다 대놓고 튀네 개빡치게 왜그러시는거예요,주차장 걸다 주차장 통해 지나다 인도 주차장 담배 피시 좋다 제발 주차 자리 서다 말다 주차 만약 그렇다 살짝 치면 운전자 다가 절대 비키다 경적 울리다 쳐다보다 말다 안쪽 대다 자리 이중 주차 연락처 남다 바로 꺾다 튀다 빡치다 그렇다,시험기간,0
140,2024-10-15,교통/이동,"주차장 입구 바로옆에 차대는 놈들은 뭐임
","안쪽에 대던지 자리가없으면 이중주차하고 연락처를 남기던지 바로 꺾이는데에 냅다 대놓고 튀네 개빡치게

",주차장 입구 바로옆에 차대는 놈들은 뭐임 안쪽에 대던지 자리가없으면 이중주차하고 연락처를 남기던지 바로 꺾이는데에 냅다 대놓고 튀네 개빡치게,주차장 입구 바로 뭐임 안쪽 대다 자리 이중 주차 연락처 남다 바로 꺾다 튀다 빡치다,시험기간,0
141,2024-06-18,교통/이동,"신정문 무료주차장 관련문의 어디서 하냐
","주차 자리가 출입구쪽에 많은데도 꾸역꾸역 엘베쪽에 주차하는 이유가 뭐야? 코너 돌때도 ㅈㄴ 힘들게 말이야
이거 어디다 문의해야하냐

",신정문 무료주차장 관련문의 어디서 하냐 주차 자리가 출입구쪽에 많은데도 꾸역꾸역 엘베쪽에 주차하는 이유가 뭐야 코너 돌때도 존나 힘들게 말이야 이거 어디다 문의해야하냐,정문 무료 주차장 관련 문의 주차 자리 출입구 많다 엘베 주차 이유 코너 돌때 존나 힘들다 문의,시험기간,0
142,2023-05-15,교통/이동,"이렇게 주차해놓고 가는 애들은 심리가 뭘까?
","안그래도 무료주차장이라 금방 차는데

아침부터 킥보드 에어팟 역주행러 만나고

한자리 비었다 하고 가보니 이렇게 되어있네

마음같아서는 딱 붙혀서 주차해놓고싶다

",이렇게 주차해놓고 가는 애들은 심리가 뭘까 안그래도 무료주차장이라 금방 차는데 아침부터 전동킥보드 에어팟 역주행러 만나고 한자리 비었다 하고 가보니 이렇게 되어있네 마음같아서는 딱 붙혀서 주차해놓고싶다,주차 심리 끄다 그렇다 무료 주차장 금방 차다 아침 전동킥보드 에어팟 역주행 만나다 한자리 비다 가보다 되어다 마음 붙다 주차,평소,2
143,2022-09-14,교통/이동,"킥타개들아 횡단보도랑 장애인 주차 구역 막지 마라
","2과기 건물 전체에 휠체어 경사로가 여기에 밖에 없어서 휠체어 타고 다니시는 분들 유일한 건물 진출입로인데 막을 곳이 없어서 여길 막냐

장애인 주차 방해 행위 과태료 50만원 짜리야. 지금까진 수도 너무 많고 귀찮아서 냅뒀는데, 막상 내가 한 번 다쳐보니깐 바로 체감되더라고
2과기에 인도 턱 없는 곳이 그 쪽 밖에 없어

1. (주정차 금지 구역 중) 건널목의 가장자리 또는 횡단보도로부터 10미터 이내인 곳 = 4만원

2. 주차 방해 행위를 한 경우 = 50만원
a) 장애인전용주차구역 내에 물건 등을 쌓아 주차를 방해하는 행위
b) 장애인전용주차구역 앞이나 뒤, 양 측면에 물건 등을 쌓거나 주차하는 행위
c) 장애인전용주차구역 진입로에 물건 등을 쌓거나 주차하는 행위

앞으로는 틈 날 때마다 QR코드랑 발견 시각 다 찍어서 일일이 스마트국민제보로 민원 제기할거니깐 그렇게 알고 있어라.
정부에서 민원 내용 토대로 업체로 벌금 먹이면 업체에서 이용 기록 기반으로 너네한테 고스란히 청구한다.

니네 조금 편하다고 이기적으로 생각해서 횡단보도랑 장애인 통행로 막지말고 제발 정자 있는 쪽 뒷문이나 2과기 정문에 주차해줘라

혹시 학생회에서 보시면 해당 사안 회의에서 ‘주차 금지 안내 표지 설치 또는 주차권장구역 지정’ 등으로 안건으로 올려주리면 좋겠습니다. 장애인 학우 및 교직원 분들의 통행권이 직접적으로 침해받고 있는데 축제때만 베리어 프리존 만들면서 장애인 신경쓴다고 할 게 아니라 이런 일상에서의 기본적인 권리들을 침해받는 일을 줄여주는 활동이 더 의미있다고 봐요",킥타개들아 횡단보도랑 장애인 주차 구역 막지 마라 2과기 건물 전체에 휠체어 경사로가 여기에 밖에 없어서 휠체어 타고 다니시는 분들 유일한 건물 진출입로인데 막을 곳이 없어서 여길 막냐 장애인 주차 방해 행위 과태료 50만원 짜리야 지금까진 수도 너무 많고 귀찮아서 냅뒀는데 막상 내가 한 번 다쳐보니깐 바로 체감되더라고 2과기에 인도 턱 없는 곳이 그 쪽 밖에 없어 1 주정차 금지 구역 중 건널목의 가장자리 또는 횡단보도로부터 10미터 이내인 곳 4만원 2 주차 방해 행위를 한 경우 50만원 a 장애인전용주차구역 내에 물건 등을 쌓아 주차를 방해하는 행위 b 장애인전용주차구역 앞이나 뒤 양 측면에 물건 등을 쌓거나 주차하는 행위 c 장애인전용주차구역 진입로에 물건 등을 쌓거나 주차하는 행위 앞으로는 틈 날 때마다 QR코드랑 발견 시각 다 찍어서 일일이 스마트국민제보로 민원 제기할거니깐 그렇게 알고 있어라 정부에서 민원 내용 토대로 업체로 벌금 먹이면 업체에서 이용 기록 기반으로 너네한테 고스란히 청구한다 니네 조금 편하다고 이기적으로 생각해서 횡단보도랑 장애인 통행로 막지말고 제발 정자 있는 쪽 뒷문이나 2과기 정문에 주차해줘라 혹시 학생회에서 보시면 해당 사안 회의에서 주차 금지 안내 표지 설치 또는 주차권장구역 지정 등으로 안건으로 올려주리면 좋겠습니다 장애인 학우 및 교직원 분들의 통행권이 직접적으로 침해받고 있는데 축제때만 베리어 프리존 만들면서 장애인 신경쓴다고 할 게 아니라 이런 일상에서의 기본적인 권리들을 침해받는 일을 줄여주는 활동이 더 의미있다고 봐요,타개 횡단보도 장애인 주차 구역 막다 마르다 과기 건물 전체 휠체어 휠체어 타고 다니다 유일하다 건물 진출 입로 여기다 막다 장애인 주차 방해 행위 과태료 짜다 리야 지금 수도 많다 귀찮다 두다 막상 다치다 바로 체감 과기 인도 정차 금지 구역 건널목 가장자리 횡단보도 로부터 미터 이내 주차 방해 행위 경우 장애인 전용 주차 구역 물건 쌓다 주차 방해 행위 장애인 전용 주차 구역 측면 물건 쌓다 주차 행위 장애인 전용 주차 구역 진입 물건 쌓다 주차 행위 코드 발견 시각 찍다 일일이 스마트 국민 제보 민원 제기 정부 민원 내용 토대 업체 벌금 먹이 업체 이용 기록 기반 고스 청구 조금 편하다 기적 횡단보도 장애인 통행 막다 제발 정자 뒷문 과기 정문 주차 혹시 학생회 보시 해당 사안 회의 주차 금지 안내 표지 설치 주차 권장 구역 지정 안건 올리다 주리 좋다 장애인 학우 교직원 통행 직접 침해 축제 베리 프리 장애인 신경 쓴다 이렇다 일상 기본 권리 침해 줄이다 활동 의미,평소,43
144,2022-05-16,교통/이동,"학교는 왜 무료주차장 관리를 안할까
","부부로보이는 사람들이 세워놨던 차 한대 빼고, 그자리에 끌고온 다른 차 다시 넣어놓고 같이 차타고 가더라..

외부인 주차는 둘째치고 알박기는 좀.. 저번에는 캠핑카로 개조한 버스 보이던데 이러다가 트레일러까지 박아두는거 아닌가 모르겠음ㅋ

다른 불만이나 불편한 경험 했던 친구들 있어?",학교는 왜 무료주차장 관리를 안할까 부부로보이는 사람들이 세워놨던 차 한대 빼고 그자리에 끌고온 다른 차 다시 넣어놓고 같이 차타고 가더라 외부인 주차는 둘째치고 알박기는 좀 저번에는 캠핑카로 개조한 버스 보이던데 이러다가 트레일러까지 박아두는거 아닌가 모르겠음ㅋ 다른 불만이나 불편한 경험 했던 친구들 있어,무료 주차장 관리 부부 보이다 세우다 빼다 자리 고온 다른 넣다 타고 외부 주차 둘째 알박기 저번 캠핑카 개조 버스 보이다 트레일러 박아 두다 다른 불만 불편하다 경험 친구,평소,1
145,2025-03-19,교통/이동,"킥보드 다 없애면 안되나
","역주행에 신호위반에... 주변에 킥보드 있으면 불안해 죽겠음

",전동킥보드 다 없애면 안되나 역주행에 신호위반에 주변에 전동킥보드 있으면 불안해 죽겠음,전동킥보드 없애다 역주행 신호 위반 주변 전동킥보드 불안하다 죽다,평소,2
146,2024-11-26,교통/이동,"xxx누3555 쥐색 아반떼 차주님
","뻔히 차 오는거 보고도 역주행하는 운전실력 보니까 언젠가 사고낼 거 같은데 걍 걸어다니세요
학교는 사유지라 신고해봐야 과태료 안나갈 거 같으니까 에타에 박제할게요

",xxx누3555 쥐색 아반떼 차주님 뻔히 차 오는거 보고도 역주행하는 운전실력 보니까 언젠가 사고낼 거 같은데 걍 걸어다니세요 학교는 사유지라 신고해봐야 과태료 안나갈 거 같으니까 에타에 박제할게요,쥐색 아반떼 차주 뻔하다 보고 역주행 운전 실력 사고 걸다 유지 신고 과태료 나가다 에타 박제,평소,21
147,2022-12-07,교통/이동,"역주행
","신정문 올라가는길에 버스는 역주행 기본에 킥라니들은 그냥 아무대서나 역주행 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사고 나기만해봐 12대과실로 제발 100:0나와서 정신좀 차리게

",역주행 신정문 올라가는길에 버스는 역주행 기본에 전동전동킥보드들은 그냥 아무대서나 역주행 사고 나기만해봐 12대과실로 제발 100 0나와서 정신좀 차리게,역주행 정문 올라가다 버스 역주행 기본 전동킥보드 대서 역주행 사고 나기 과실 제발 정신 차리다,시험기간,1
148,2024-09-30,교통/이동,"킥라니들
","차타고 다니는 입장에서 킥라니들 진짜 🐕 같음 얌전하게 타든가 역주행은 기본이고 2치기에 차 오는데 비키지도 않아

",전동전동킥보드들 차타고 다니는 입장에서 전동전동킥보드들 진짜 같음 얌전하게 타든가 역주행은 기본이고 2치기에 차 오는데 비키지도 않아,전동킥보드 타고 다니다 입장 전동킥보드 얌전하다 역주행 기본 치기 비키다,평소,0
149,2022-11-17,교통/이동,"역주행 킥라니 씨ㅡ발 년놈들아
","둘이 쳐 타는것도 모자라서 육교쪽에서 세종여고 사거리 오는 쪽을 도로 정 중앙에서 역주행을 해?? 칠뻔했어 씹쌔들아 씨ㅡ발 뒤지려면 혼자 뒤져 제발 남한테 쳐 피해주지 말고 씨ㅡ발

",역주행 전동전동킥보드 씨ㅡ발 년놈들아 둘이 쳐 타는것도 모자라서 육교쪽에서 세종여고 사거리 오는 쪽을 도로 정 중앙에서 역주행을 해 칠뻔했어 씹쌔들아 씨ㅡ발 뒤지려면 혼자 뒤져 제발 남한테 쳐 피해주지 말고 씨ㅡ발,역주행 전동킥보드 년놈 모자라다 육교 여고 사거리 도로 중앙 역주행 뻔하다 씹쌔들 뒤지다 혼자 뒤지다 제발,평소,4
150,2022-06-18,교통/이동,"방금 전 정문 킥보드 시ㅡ발아
","존나 당당하게 역주행으로 쳐 내려오면서 뭐 오나 보지도 않아서 부딪힐뻔해놓고 사과도 없이 가?? 진짜 꼭 뒤지길 바란다 진심으로

",방금 전 정문 전동킥보드 시ㅡ발아 존나 당당하게 역주행으로 쳐 내려오면서 뭐 오나 보지도 않아서 부딪힐뻔해놓고 사과도 없이 가 진짜 꼭 뒤지길 바란다 진심으로,방금 정문 전동킥보드 발아 존나 당당하다 역주행 내려오다 보지 부딪히다 뻔하다 사과 뒤지다 바라다 진심,시험기간,6
151,2022-04-18,교통/이동,"킥보드 역주행 신박하네
","아무리 학교 안에 차가 없다고 해도 이걸 역주행을 할줄이야
일본인인줄",전동킥보드 역주행 신박하네 아무리 학교 안에 차가 없다고 해도 이걸 역주행을 할줄이야 일본인인줄,전동킥보드 역주행 박하 차갑다 해도 역주행 일본인,시험기간,0
152,2023-04-10,교통/이동,"배차간격 10분였던때가 그립다
","30분뒤 출발은 억까야~
20분꺼 타면 점심도 못 먹겠네...",배차간격 10분였던때가 그립다 30분뒤 출발은 억까야 20분꺼 타면 점심도 못 먹겠네,배차 간격 그리다 출발 끄다 점심,시험기간,2
153,2025-10-14,교통/이동,"이 어두컴컴한 시간대에
","킥라니 1차선 역주행은 씨발진짜ㅋㅋ

",이 어두컴컴한 시간대에 전동전동킥보드 1차선 역주행은 씨발진짜,어두컴컴하다 시간대 전동킥보드 차선 역주행 씨발,시험기간,0
154,2022-12-26,교통/이동,"킥라니충들 그냥 죽어라
","타다가 어디 대가리 부딪혔니? 이렇게 쳐 세우면 통행에 불편할 거라는 생각을 쳐 못하는 거 보니 아무래도 그런 듯 싶다 킥라니충들아

",전동전동킥보드충들 그냥 죽어라 타다가 어디 대가리 부딪혔니 이렇게 쳐 세우면 통행에 불편할 거라는 생각을 쳐 못하는 거 보니 아무래도 그런 듯 싶다 전동전동킥보드충들아,전동킥보드 죽다 다가 대가리 부딪히다 세우다 통행 불편하다 그렇다 전동킥보드,평소,0
155,2025-06-09,교통/이동,"킥라니 개꼴보기 싫으면 개추
","일단 나부터 ㅋㅋ

",전동전동킥보드 개꼴보기 싫으면 개추 일단 나부터,전동킥보드 개꼴 보기 싫다 개추 일단,시험기간,8
156,2024-03-15,교통/이동,"킥라니들아
","인도에선 제발 속도내지말고 사람좀 보고 다녀라 애초에 인도를 왜 타노

",전동전동킥보드들아 인도에선 제발 속도내지말고 사람좀 보고 다녀라 애초에 인도를 왜 타노,전동킥보드 인도 제발 속도 내지 보고 다니다 애초 인도,평소,0
157,2026-02-07,교통/이동,"학교 차단기 문제인가 번호판 문제인가
","인식이 너무 안돼요 운전 습관 문제인가
매번 내려서 뒤에 쭉 빠꾸 부탁드리는거도 민망해요

",학교 차단기 문제인가 번호판 문제인가 인식이 너무 안돼요 운전 습관 문제인가 매번 내려서 뒤에 쭉 빠꾸 부탁드리는거도 민망해요,차단기 번호판 인식 운전 습관 매번 빠꾸 부탁드리다 민망하다,평소,0
158,2023-11-15,교통/이동,"요즘 대학교 내에서 운전하기 무서울듯
","방금전에 소형 suv차가 학술 앞에서 서행으로 달리고 있었는데 갑자기 한 여자애가 옆 확인도 안하고 바로 앞에 차 와있는데도 도로로 나와서 횡단하려고 하더라. 다행히 운전자가 서행으로 달리고 있어서 급브레이크 밟아서 사고는 안났는데 경적음 울려서 경고주는데도 여자애 이어폰 꽂고있어서 안들린건지 그냥 무시한건지 모르겠는데 그냥 가는 길 가더라.. 저번에 선배 차 타고 밥먹으러 갈 때 우리도 비슷한 일 겪었는데 진짜 대학 내에서 운전하기 무서울듯 ㅠㅠ

",요즘 대학교 내에서 운전하기 무서울듯 방금전에 소형 suv차가 학술 앞에서 서행으로 달리고 있었는데 갑자기 한 여자애가 옆 확인도 안하고 바로 앞에 차 와있는데도 도로로 나와서 횡단하려고 하더라 다행히 운전자가 서행으로 달리고 있어서 급브레이크 밟아서 사고는 안났는데 경적음 울려서 경고주는데도 여자애 이어폰 꽂고있어서 안들린건지 그냥 무시한건지 모르겠는데 그냥 가는 길 가더라 저번에 선배 차 타고 밥먹으러 갈 때 우리도 비슷한 일 겪었는데 진짜 대학 내에서 운전하기 무서울듯,요즘 대학교 운전 무섭다 금전 소형 차갑다 학술정보원 서행 달리 갑자기 여자애 확인 바로 도로로 달다 다행하다 운전자 서행 달리 브레이크 밟다 사고 경적 울리다 경고 여자애 이어폰 꽂다 들리다 건지다 무시 건지다 저번 선배 타고 갈다 비슷하다 겪다 대학 운전 무섭다,평소,1
